NAME                            READY   STATUS    RESTARTS      AGE     IP            NODE       NOMINATED NODE   READINESS GATES
scaletestapp-847c45c655-792sq   1/1     Running   0             4m17s   10.244.0.56   minikube   <none>           <none>
scaletestapp-847c45c655-844h5   1/1     Running   1 (12m ago)   14m     10.244.0.47   minikube   <none>           <none>
scaletestapp-847c45c655-ds9ph   1/1     Running   0             12m     10.244.0.48   minikube   <none>           <none>
scaletestapp-847c45c655-hpvfr   1/1     Running   0             5m17s   10.244.0.55   minikube   <none>           <none>
scaletestapp-847c45c655-lj65x   1/1     Running   0             5m17s   10.244.0.53   minikube   <none>           <none>
scaletestapp-847c45c655-m2ngt   1/1     Running   0             4m17s   10.244.0.58   minikube   <none>           <none>
scaletestapp-847c45c655-nf9hv   1/1     Running   0             5m17s   10.244.0.54   minikube   <none>           <none>
scaletestapp-847c45c655-tn2dr   1/1     Running   0             11m     10.244.0.49   minikube   <none>           <none>
scaletestapp-847c45c655-tpghh   1/1     Running   0             4m17s   10.244.0.57   minikube   <none>           <none>
scaletestapp-847c45c655-wzc7n   1/1     Running   0             11m     10.244.0.50   minikube   <none>           <none>
