NAME                            CPU(cores)   MEMORY(bytes)   
scaletestapp-847c45c655-792sq   1m           6Mi             
scaletestapp-847c45c655-844h5   1m           15Mi            
scaletestapp-847c45c655-ds9ph   1m           10Mi            
scaletestapp-847c45c655-hpvfr   1m           4Mi             
scaletestapp-847c45c655-lj65x   1m           7Mi             
scaletestapp-847c45c655-m2ngt   1m           6Mi             
scaletestapp-847c45c655-nf9hv   1m           7Mi             
scaletestapp-847c45c655-tn2dr   1m           10Mi            
scaletestapp-847c45c655-tpghh   1m           4Mi             
scaletestapp-847c45c655-wzc7n   1m           10Mi            
